Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,Broken Root,Broken WWW
americorp.gov,http://www.americorp.gov,True,True,http://www.nationalservice.gov/programs/americorps,False,False,False,False,False,False,False,,,False,False,False,False
americorps.gov,http://www.americorps.gov,True,True,http://www.nationalservice.gov/programs/americorps,False,False,False,False,False,False,False,,,False,False,False,False
americorpsconnect.gov,http://www.americorpsconnect.gov,True,True,,False,False,False,False,False,True,False,,,False,False,False,False
americorpsweek.gov,http://americorpsweek.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
ameslab.gov,https://www.ameslab.gov,True,False,,True,True,False,True,False,False,False,,,False,False,True,False
amtrakoig.gov,https://amtrakoig.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
anl.gov,http://www.anl.gov,True,False,,True,False,True,False,False,False,False,,,False,False,True,False
annualcreditreport.gov,http://www.annualcreditreport.gov,True,True,http://www.consumer.ftc.gov/articles/0155-free-credit-reports,False,False,False,False,False,False,False,,,False,False,False,False
anstaskforce.gov,http://www.anstaskforce.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
aoa.gov,http://aoa.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
aoc.gov,http://www.aoc.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False
ap.gov,http://www.ap.gov,True,True,http://www.bis.doc.gov/index.php/other-areas/additional-protocol-ap,False,False,False,False,False,True,False,,,False,False,False,False
applicationmanager.gov,https://www.applicationmanager.gov,True,True,https://login.usajobs.gov/account/signin?returnurl=%2fissue%2fwsfed%3fwa%3dwsignin1.0%26wtrealm%3dhttps%253a%252f%252fapplicationmanager.gov%252f%26wctx%3drm%253d0%2526id%253dpassive%2526ru%253d%25252f%26wct%3d2015-06-14t16%253a15%253a56z&wa=wsignin1.0&wtrealm=https%3a%2f%2fapplicationmanager.gov%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252f&wct=2015-06-14t16%3a15%3a56z,True,True,False,True,False,False,False,,,False,False,False,False
apps.gov,http://apps.gov,True,True,https://www.fedramp.gov/,False,False,False,False,True,True,False,,,False,False,False,True
aqi.gov,http://aqi.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
arc.gov,http://www.arc.gov,True,False,,False,False,False,False,False,False,False,,,False,False,True,False
archives.gov,http://archives.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
arctic.gov,http://arctic.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
arcticgas.gov,http://arcticgas.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
arm.gov,http://www.arm.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
ars-grin.gov,http://www.ars-grin.gov,True,False,,False,False,False,False,False,False,False,,,False,False,True,False
arsusda.gov,http://arsusda.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
arts.gov,http://arts.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
asap.gov,https://www.asap.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
asc.gov,https://www.asc.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
asianpacificheritage.gov,http://asianpacificheritage.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
askkaren.gov,http://www.askkaren.gov,True,True,http://www.fsis.usda.gov/wps/portal/informational/askkaren,False,False,False,False,False,True,False,,,False,False,False,False
astrongmiddleclass.gov,http://www.astrongmiddleclass.gov,True,True,https://www.whitehouse.gov/strongmiddleclass,True,False,False,False,False,False,False,,,False,False,False,False
atf.gov,https://www.atf.gov,True,False,,True,True,False,True,False,False,True,max-age=15984000; preload,15984000,False,False,True,False
atvsafety.gov,http://www.atvsafety.gov,True,True,http://www.cpsc.gov/en/safety-education/safety-education-centers/atv-safety-information-center/,False,False,False,False,False,True,False,,,False,False,False,False
autocommunities.gov,http://www.autocommunities.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
aviationweather.gov,http://aviationweather.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
ayudaconmibanco.gov,http://ayudaconmibanco.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bam.gov,http://www.bam.gov,True,True,http://www.cdc.gov/bam/,False,False,False,False,False,False,False,,,False,False,True,False
bankanswers.gov,http://bankanswers.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bankcustomer.gov,http://bankcustomer.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bankcustomerassistance.gov,http://bankcustomerassistance.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bankhelp.gov,http://bankhelp.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
banknet.gov,http://banknet.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
bankruptcy.gov,http://www.bankruptcy.gov,True,True,http://www.uscourts.gov/services-forms/bankruptcy,False,False,False,False,False,True,False,,,False,False,True,False
bbg.gov,http://www.bbg.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
bcfp.gov,http://www.bcfp.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
bea.gov,http://bea.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
befoodsafe.gov,http://www.befoodsafe.gov,True,True,http://www.fsis.usda.gov/wps/portal/fsis/topics/food-safety-education/teach-others/fsis-educational-campaigns/be-food-safe,False,False,False,False,False,True,False,,,False,False,False,False
benefits.gov,http://www.benefits.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
bep.gov,http://bep.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bestbonesforever.gov,http://www.bestbonesforever.gov,True,True,http://www.bestbonesforever.org/,False,False,False,False,False,True,False,,,False,False,False,False
betobaccofree.gov,http://www.betobaccofree.gov,True,True,http://betobaccofree.hhs.gov/,False,False,False,False,False,True,False,,,False,False,False,False
bfelob.gov,http://www.bfelob.gov,True,True,https://bfelob.max.gov/,True,False,False,True,False,False,True,max-age=86400,86400,True,True,False,False
bfem.gov,https://bfem.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
bia.gov,http://bia.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bioeco.gov,http://www.bioeco.gov,True,False,,False,False,False,False,False,True,False,,,False,False,True,False
bioethics.gov,http://bioethics.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False
biomassboard.gov,http://biomassboard.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
biometriccoe.gov,http://www.biometriccoe.gov,True,True,https://www.fbi.gov/about-us/cjis/fingerprints_biometrics/biometric-center-of-excellence/,False,False,False,False,False,False,False,,,False,False,False,False
biometrics.gov,http://biometrics.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
biopreferred.gov,http://biopreferred.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
biosecurityboard.gov,http://biosecurityboard.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
bja.gov,https://www.bja.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
bjs.gov,http://bjs.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bldrdoc.gov,http://www.bldrdoc.gov,True,False,,False,False,False,False,False,True,False,,,False,False,True,False
blm.gov,http://www.blm.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False
blmntl.gov,http://blmntl.gov,True,True,,False,False,False,False,False,True,False,,,False,False,False,True
bls.gov,http://www.bls.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
bnl.gov,http://www.bnl.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False
boem.gov,http://www.boem.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
boemre.gov,http://boemre.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
bondpro.gov,http://bondpro.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
bop.gov,http://www.bop.gov,True,False,,False,False,False,False,False,False,False,,,False,False,True,False
bor.gov,http://bor.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
bpa.gov,http://www.bpa.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
brac.gov,http://brac.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
brc.gov,http://brc.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
broadband.gov,http://www.broadband.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
broadbandmap.gov,http://broadbandmap.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
browsetopics.gov,http://browsetopics.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
bsee.gov,http://www.bsee.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
bto.gov,http://bto.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
bts.gov,http://www.bts.gov,True,True,http://www.rita.dot.gov/bts/,False,False,False,False,False,True,False,,,False,False,True,False
budget.gov,http://www.budget.gov,True,True,https://www.whitehouse.gov/omb,True,False,False,False,False,False,False,,,False,False,False,False
buildingamerica.gov,http://www.buildingamerica.gov,True,True,http://energy.gov/eere/buildings/building-america-bringing-building-innovations-market,False,False,False,False,False,True,False,,,False,False,False,False
business.gov,http://www.business.gov,True,True,http://business.usa.gov/,False,False,False,False,False,False,False,,,False,False,False,False
businessusa.gov,http://www.businessusa.gov,True,True,http://business.usa.gov/,True,False,False,False,False,False,False,,,False,False,False,False
buyaccessible.gov,http://buyaccessible.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
buyusa.gov,http://buyusa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
c3.gov,http://www.c3.gov,True,False,,False,False,False,False,False,True,False,max-age=0,0,False,False,False,False
cancer.gov,http://www.cancer.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
cancernet.gov,http://www.cancernet.gov,True,True,http://www.cancer.gov/,False,False,False,False,False,False,False,,,False,False,False,False
cao.gov,https://cao.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False
cap.gov,http://cap.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
capital.gov,http://capital.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
capitol.gov,http://capitol.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
capitolflags.gov,http://www.capitolflags.gov,True,True,http://www.aoc.gov/trades-and-areas-practice/capitol-flag-program,False,False,False,False,False,False,False,,,False,False,True,False
capitolhill.gov,http://www.capitolhill.gov,True,True,http://www.loc.gov/,False,False,False,False,False,True,False,,,False,False,False,False
capnhq.gov,http://www.capnhq.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
carboncyclescience.gov,http://carboncyclescience.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
casl.gov,http://www.casl.gov,True,False,,False,False,False,False,False,True,False,,,False,False,True,False
cavc.gov,http://cavc.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
cbca.gov,http://cbca.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
cbi-epa.gov,http://cbi-epa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
cbo.gov,http://www.cbo.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
cbonews.gov,http://cbonews.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
cbp.gov,http://www.cbp.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
ccac.gov,http://ccac.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
ccr.gov,http://www.ccr.gov,True,False,,False,False,False,True,False,True,False,,,False,False,False,False
cdc.gov,http://www.cdc.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
cdco.gov,http://www.cdco.gov,True,True,http://www.cdco.va.gov/,False,False,False,False,False,False,False,,,False,False,True,False
cdfifund.gov,http://cdfifund.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
cebaf.gov,http://www.cebaf.gov,True,True,https://www.jlab.org/,False,False,False,False,False,True,False,,,False,False,False,False
cecc.gov,http://www.cecc.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
cendi.gov,http://cendi.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
census.gov,http://census.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
cfa.gov,http://cfa.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
cfda.gov,https://www.cfda.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
cflhd.gov,http://www.cflhd.gov,True,False,,False,False,False,False,True,True,False,,,False,False,True,False
cfo.gov,https://cfo.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False
cfpa.gov,http://www.cfpa.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
cfpb.gov,http://www.cfpb.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
cftc.gov,http://www.cftc.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False
challenge.gov,http://www.challenge.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
challenges.gov,http://www.challenges.gov,True,True,https://www.challenge.gov/list/,False,False,False,False,False,False,False,,,False,False,False,False
change.gov,http://change.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
chcoc.gov,http://chcoc.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
chemsafety.gov,http://www.chemsafety.gov,True,True,,False,False,False,False,False,False,False,,,False,False,True,False
childreninadversity.gov,http://www.childreninadversity.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
childstats.gov,http://childstats.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
childwelfare.gov,https://childwelfare.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
china-commission.gov,http://china-commission.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
chinacommission.gov,http://chinacommission.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
choosemyplate.gov,http://choosemyplate.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
christophercolumbusfoundation.gov,http://www.christophercolumbusfoundation.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
cia.gov,https://www.cia.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
cigie.gov,http://cigie.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
cio.gov,https://cio.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False
citizencorps.gov,http://www.citizencorps.gov,True,True,http://www.ready.gov/citizen-corps,True,False,False,False,False,False,False,,,False,False,False,False
citizencosponsors.gov,http://citizencosponsors.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
citizens.gov,http://www.citizens.gov,True,True,https://www.cosponsor.gov/,False,False,False,False,False,True,False,,,False,False,False,False
civilianresponsecorps.gov,http://civilianresponsecorps.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,True
civilrightsusa.gov,http://civilrightsusa.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
climate.gov,http://www.climate.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
climatechange.gov,http://climatechange.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
clinicaltrial.gov,http://www.clinicaltrial.gov,True,False,,False,False,False,True,False,True,False,,,False,False,False,False
clinicaltrials.gov,https://clinicaltrials.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
clintonlibrary.gov,http://clintonlibrary.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
clubdrugs.gov,http://www.clubdrugs.gov,True,True,http://www.drugabuse.gov/drugs-abuse/club-drugs,False,False,False,False,False,True,False,,,False,False,False,False
cms.gov,http://cms.gov,True,False,,False,False,False,True,False,False,False,,,False,False,False,False
cmts.gov,http://www.cmts.gov,True,False,,False,False,False,False,False,False,False,,,False,False,True,False
cncs.gov,http://www.cncs.gov,True,True,http://www.nationalservice.gov/,False,False,False,False,False,False,False,,,False,False,False,False
cncsoig.gov,http://www.cncsoig.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
cns.gov,http://www.cns.gov,True,True,http://www.nationalservice.gov/,False,False,False,False,False,False,False,,,False,False,False,False
cnss.gov,https://www.cnss.gov,True,False,,False,True,False,True,True,False,False,,,False,False,True,False
coast2050.gov,http://coast2050.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
coastalamerica.gov,http://coastalamerica.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
college.gov,http://www.college.gov,True,True,https://studentaid.ed.gov/sa/redirects/college-gov,False,False,False,False,False,False,False,,,False,False,False,False
collegedrinkingprevention.gov,http://collegedrinkingprevention.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
collegenavigator.gov,http://collegenavigator.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,True
commerce.gov,http://www.commerce.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,False
commission.gov,http://commission.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
complaintreferralexpress.gov,http://www.complaintreferralexpress.gov,True,True,,True,False,False,True,False,False,False,,,False,False,False,False
compliance.gov,http://www.compliance.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
comptrollerofthecurrency.gov,http://comptrollerofthecurrency.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
computers4learning.gov,http://www.computers4learning.gov,True,True,http://computersforlearning.gov/,False,False,False,False,False,True,False,,,False,False,False,False
computersforlearning.gov,http://computersforlearning.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
congress.gov,https://congress.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
congressionaldirectory.gov,http://www.congressionaldirectory.gov,True,True,http://www.gpo.gov/fdsys/browse/collection.action?collectioncode=cdir,False,False,False,False,False,False,False,,,False,False,False,False
congressionalrecord.gov,http://www.congressionalrecord.gov,True,True,http://www.gpo.gov/fdsys/browse/collection.action?collectioncode=crec,False,False,False,False,False,False,False,,,False,False,False,False
connect.gov,http://www.connect.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
conservation.gov,http://conservation.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
consumer.gov,http://www.consumer.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
consumeraction.gov,http://www.consumeraction.gov,True,True,http://www.usa.gov/topics/consumer.shtml,False,False,False,False,False,True,False,,,False,False,False,False
consumerbureau.gov,http://www.consumerbureau.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
consumerfinance.gov,http://www.consumerfinance.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
consumerfinancial.gov,http://www.consumerfinancial.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
consumerfinancialbureau.gov,http://www.consumerfinancialbureau.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
consumerfinancialprotectionbureau.gov,http://www.consumerfinancialprotectionbureau.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
consumerprotection.gov,http://www.consumerprotection.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
consumerprotectionbureau.gov,http://www.consumerprotectionbureau.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,,,False,False,False,False
consumersentinel.gov,https://consumersentinel.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False
consumersentinelnetwork.gov,http://consumersentinelnetwork.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
consumidor.gov,http://www.consumidor.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
continentalshelf.gov,http://continentalshelf.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
contractdirectory.gov,https://www.contractdirectory.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
coop-uspto.gov,http://www.coop-uspto.gov,True,True,http://coop.uspto.gov/,False,False,False,False,False,False,False,,,False,False,False,False
copyright.gov,http://copyright.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
coralreef.gov,http://www.coralreef.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
cosponsor.gov,http://www.cosponsor.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
counterwmd.gov,http://www.counterwmd.gov,True,False,,False,False,False,False,False,False,False,,,False,False,True,False
cpars.gov,https://www.cpars.gov,True,False,,False,True,False,True,True,False,False,,,False,False,True,False
cpnireporting.gov,https://www.cpnireporting.gov,True,False,,False,True,False,True,True,False,False,,,False,False,False,False
cpsc.gov,http://www.cpsc.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
crimesolutions.gov,http://www.crimesolutions.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
crimevictims.gov,http://crimevictims.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
crs.gov,http://crs.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
crt2014-2024review.gov,http://www.crt2014-2024review.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
csb.gov,http://www.csb.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
csce.gov,http://csce.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
csosa.fed.us,http://www.csosa.fed.us,True,False,,False,False,False,False,False,False,False,,,False,False,True,False
csosa.gov,http://www.csosa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
