Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preloaded
acus.gov,acus.gov,https://www.acus.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
acwi.gov,acwi.gov,https://acwi.gov,True,False,,True,True,False,True,False,False,False,True,max-age=3600; includeSubDomains;,3600,True,False,False
ada.gov,ada.gov,https://www.ada.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
adf.gov,adf.gov,http://adf.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False
adlnet.gov,adlnet.gov,https://www.adlnet.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
admongo.gov,admongo.gov,https://www.admongo.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False
adr.gov,adr.gov,https://www.adr.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
afadvantage.gov,afadvantage.gov,https://afadvantage.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
aff.gov,aff.gov,http://www.aff.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
afrh.gov,afrh.gov,https://www.afrh.gov,True,False,,False,True,False,True,True,False,False,False,,,False,False,False
africanamericanhistorymonth.gov,africanamericanhistorymonth.gov,http://africanamericanhistorymonth.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False
aftac.gov,aftac.gov,http://aftac.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
afterschool.gov,afterschool.gov,http://www.afterschool.gov,True,True,http://findyouthinfo.gov/,False,False,False,False,False,False,False,False,,,False,False,False
ag.gov,ag.gov,http://ag.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
aging.gov,aging.gov,http://www.aging.gov,True,True,http://www.hhs.gov/aging/,True,False,False,False,False,False,False,False,,,False,False,False
agingstats.gov,agingstats.gov,https://agingstats.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False
ahcpr.gov,ahcpr.gov,http://www.ahcpr.gov,True,True,http://www.ahrq.gov/,True,False,False,False,False,False,False,False,,,False,False,False
ahrq.gov,ahrq.gov,http://www.ahrq.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False
aidrefugees.gov,aidrefugees.gov,http://www.aidrefugees.gov,True,True,https://www.whitehouse.gov/aidrefugees,True,False,False,True,False,False,False,True,max-age=31536000;,31536000,False,False,False
aids.gov,aids.gov,https://www.aids.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
airnow.gov,airnow.gov,https://airnow.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,True
alaskacenters.gov,alaskacenters.gov,https://alaskacenters.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False
alertaenlinea.gov,alertaenlinea.gov,https://www.alertaenlinea.gov,True,True,https://www.consumidor.ftc.gov/destacado/destacado-s0038-alerta-en-linea,True,True,False,True,False,False,False,False,,,True,True,False
altusandc.gov,altusandc.gov,http://www.altusandc.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
alzheimers.gov,alzheimers.gov,http://www.alzheimers.gov,True,True,https://alzheimers.acl.gov/,False,False,False,False,False,True,False,False,,,False,False,False
ama.gov,ama.gov,https://www.ama.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
amberalert.gov,amberalert.gov,http://www.amberalert.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
america.gov,america.gov,https://www.america.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
americanmemory.gov,americanmemory.gov,http://www.americanmemory.gov,True,True,https://www.loc.gov/,False,False,False,False,False,True,False,False,,,False,False,False
americasgreatoutdoors.gov,americasgreatoutdoors.gov,http://americasgreatoutdoors.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
americasheroesatwork.gov,americasheroesatwork.gov,http://www.americasheroesatwork.gov,True,True,https://www.dol.gov/vets/ahaw/,False,False,False,False,False,True,False,False,,,False,False,False
americaslibrary.gov,americaslibrary.gov,http://www.americaslibrary.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False
americasstory.gov,americasstory.gov,http://www.americasstory.gov,True,True,http://www.americaslibrary.gov/,False,False,False,False,False,True,False,False,,,False,False,False
americastory.gov,americastory.gov,http://www.americastory.gov,True,True,http://www.americaslibrary.gov/,False,False,False,False,False,True,False,False,,,False,False,False
americathebeautifulquarters.gov,americathebeautifulquarters.gov,https://www.americathebeautifulquarters.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
americore.gov,americore.gov,http://www.americore.gov,True,True,https://www.nationalservice.gov/programs/americorps,False,False,False,True,False,True,False,False,,,False,False,False
americorp.gov,americorp.gov,http://www.americorp.gov,True,True,https://www.nationalservice.gov/programs/americorps,False,False,False,True,False,True,False,False,,,False,False,False
americorps.gov,americorps.gov,http://www.americorps.gov,True,True,https://www.nationalservice.gov/programs/americorps,True,False,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False
americorpsconnect.gov,americorpsconnect.gov,http://www.americorpsconnect.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False
americorpsweek.gov,americorpsweek.gov,http://www.americorpsweek.gov,True,True,,False,False,False,False,True,True,False,False,,,False,False,False
ameslab.gov,ameslab.gov,https://www.ameslab.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
amtrakoig.gov,amtrakoig.gov,http://amtrakoig.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
anchorit.gov,anchorit.gov,http://www.anchorit.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False
anl.gov,anl.gov,http://www.anl.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
annualcreditreport.gov,annualcreditreport.gov,http://www.annualcreditreport.gov,True,True,https://www.consumer.ftc.gov/articles/0155-free-credit-reports,False,False,False,False,False,False,False,False,,,False,False,False
anstaskforce.gov,anstaskforce.gov,http://www.anstaskforce.gov,True,False,,False,False,False,False,True,True,False,False,,,False,False,False
aoa.gov,aoa.gov,http://www.aoa.gov,True,True,https://aoa.acl.gov,False,False,False,True,False,True,False,False,,,False,False,False
aoc.gov,aoc.gov,https://www.aoc.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
ap.gov,ap.gov,http://www.ap.gov,True,True,https://www.bis.doc.gov/index.php/other-areas/additional-protocol-ap,False,False,False,False,False,True,False,False,,,False,False,False
app.gov,app.gov,http://www.app.gov,True,True,https://www.apps.gov//,False,False,False,False,False,False,False,False,,,False,False,False
applicationmanager.gov,applicationmanager.gov,https://www.applicationmanager.gov,True,True,https://login.usajobs.gov/account/signin?ReturnUrl=%2fissue%2fwsfed%3fwa%3dwsignin1.0%26wtrealm%3dhttps%253a%252f%252fapplicationmanager.gov%252f%26wctx%3drm%253d0%2526id%253dpassive%2526ru%253d%25252f%26wct%3d2016-12-08T14%253a51%253a14Z&wa=wsignin1.0&wtrealm=https%3a%2f%2fapplicationmanager.gov%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252f&wct=2016-12-08T14%3a51%3a14Z,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False
apps.gov,apps.gov,https://apps.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False
arc.gov,arc.gov,https://arc.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
archives.gov,archives.gov,https://www.archives.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000;,31536000,False,False,False
arctic.gov,arctic.gov,https://arctic.gov,True,False,,False,True,False,True,True,False,False,True,max-age=16070400; includeSubDomains; preload,16070400,True,True,True
arm.gov,arm.gov,http://www.arm.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
ars-grin.gov,ars-grin.gov,http://www.ars-grin.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
arsusda.gov,arsusda.gov,http://arsusda.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
arts.gov,arts.gov,https://www.arts.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
asap.gov,asap.gov,https://www.asap.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536001; includeSubDomains,31536001,False,False,False
asc.gov,asc.gov,https://www.asc.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
asianpacificheritage.gov,asianpacificheritage.gov,http://asianpacificheritage.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False
askkaren.gov,askkaren.gov,https://www.askkaren.gov,True,True,https://www.fsis.usda.gov/wps/portal/informational/askkaren,True,True,False,True,False,False,False,False,,,False,False,False
astrongmiddleclass.gov,astrongmiddleclass.gov,http://www.astrongmiddleclass.gov,True,True,https://www.whitehouse.gov/strongmiddleclass,True,False,False,False,False,False,False,False,,,False,False,False
atf.gov,atf.gov,https://www.atf.gov,True,False,,True,True,False,True,False,False,False,True,max-age=15984000; preload,15984000,False,False,False
atfonline.gov,atfonline.gov,http://atfonline.gov,True,False,,False,False,False,False,True,False,False,False,,,False,False,False
atvsafety.gov,atvsafety.gov,http://www.atvsafety.gov,True,True,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/ATV-Safety-Information-Center/,False,False,False,False,False,True,False,False,,,False,False,False
aviationweather.gov,aviationweather.gov,http://aviationweather.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
ayudaconmibanco.gov,ayudaconmibanco.gov,http://ayudaconmibanco.gov,True,False,,True,False,False,True,False,False,False,True,max-age=469152000; includesSubDomains,469152000,False,False,False
bam.gov,bam.gov,http://bam.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
bankanswers.gov,bankanswers.gov,http://bankanswers.gov,True,False,,True,False,False,True,False,False,False,True,max-age=469152000; includesSubDomains,469152000,False,False,False
bankcustomer.gov,bankcustomer.gov,http://bankcustomer.gov,True,False,,True,False,False,True,False,False,False,True,max-age=469152000; includesSubDomains,469152000,False,False,False
bankcustomerassistance.gov,bankcustomerassistance.gov,http://bankcustomerassistance.gov,True,False,,True,False,False,True,False,False,False,True,max-age=469152000; includesSubDomains,469152000,False,False,False
bankhelp.gov,bankhelp.gov,http://bankhelp.gov,True,False,,True,False,False,True,False,False,False,True,max-age=469152000; includesSubDomains,469152000,False,False,False
banknet.gov,banknet.gov,https://banknet.gov,True,False,,True,True,False,True,False,False,False,True,max-age=469152000; includesSubDomains,469152000,False,False,False
bankruptcy.gov,bankruptcy.gov,http://www.bankruptcy.gov,True,True,http://www.uscourts.gov/services-forms/bankruptcy,False,False,False,False,False,True,False,False,,,False,False,False
bats.gov,bats.gov,https://www.bats.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
bbg.gov,bbg.gov,https://www.bbg.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
bcfp.gov,bcfp.gov,http://www.bcfp.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,False,,,False,False,False
bea.gov,bea.gov,http://bea.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
befoodsafe.gov,befoodsafe.gov,https://www.befoodsafe.gov,True,True,https://www.fsis.usda.gov/wps/portal/fsis/topics/food-safety-education/teach-others/fsis-educational-campaigns/be-food-safe,True,True,False,True,False,False,False,False,,,False,False,False
benefits.gov,benefits.gov,https://www.benefits.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
bep.gov,bep.gov,http://bep.gov,True,False,,False,False,False,False,True,True,False,False,,,False,False,False
bestbonesforever.gov,bestbonesforever.gov,http://bestbonesforever.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
betobaccofree.gov,betobaccofree.gov,https://www.betobaccofree.gov,True,True,https://betobaccofree.hhs.gov/,True,True,False,False,False,False,False,True,max-age=31536000;includeSubDomains;,31536000,False,False,False
bfelob.gov,bfelob.gov,http://www.bfelob.gov,True,True,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
bfem.gov,bfem.gov,http://bfem.gov,True,False,,True,False,False,True,False,False,False,True,max-age=315360; includeSubDomains,315360,True,False,False
bia.gov,bia.gov,https://www.bia.gov,True,False,,False,True,False,True,True,False,False,False,,,False,False,False
bioeco.gov,bioeco.gov,https://www.bioeco.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,False,False,False
bioethics.gov,bioethics.gov,http://bioethics.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
biomassboard.gov,biomassboard.gov,http://biomassboard.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
biometriccoe.gov,biometriccoe.gov,http://www.biometriccoe.gov,True,True,https://www.fbi.gov/services/cjis/fingerprints-and-other-biometrics/biometric-center-of-excellence,False,False,False,False,False,False,False,False,,,False,False,False
biometrics.gov,biometrics.gov,http://biometrics.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
biopreferred.gov,biopreferred.gov,https://www.biopreferred.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
biosecurityboard.gov,biosecurityboard.gov,http://biosecurityboard.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
bja.gov,bja.gov,https://www.bja.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; always,31536000,False,False,False
bjs.gov,bjs.gov,http://bjs.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
bldrdoc.gov,bldrdoc.gov,http://www.bldrdoc.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False
blm.gov,blm.gov,https://www.blm.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000,31536000,False,False,False
bls.gov,bls.gov,http://www.bls.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False
bnl.gov,bnl.gov,https://www.bnl.gov,True,False,,True,True,False,True,False,False,False,True,'max-age=10886400',10886400,False,False,False
boem.gov,boem.gov,https://www.boem.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False
boemre.gov,boemre.gov,http://www.boemre.gov,True,True,,False,False,False,False,False,False,False,False,,,False,False,False
bondpro.gov,bondpro.gov,http://bondpro.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
bop.gov,bop.gov,https://www.bop.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False
bor.gov,bor.gov,http://bor.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
bosque.gov,bosque.gov,http://bosque.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
bpa.gov,bpa.gov,https://www.bpa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubDomains; preload,63072000,False,False,False
brac.gov,brac.gov,http://brac.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
brainhealth.gov,brainhealth.gov,http://www.brainhealth.gov,True,True,https://brainhealth.acl.gov/,False,False,False,False,False,True,False,False,,,False,False,False
brc.gov,brc.gov,http://www.brc.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
broadband.gov,broadband.gov,http://www.broadband.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
broadbandmap.gov,broadbandmap.gov,http://broadbandmap.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
bsee.gov,bsee.gov,https://www.bsee.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False
bts.gov,bts.gov,https://www.bts.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
budget.gov,budget.gov,http://www.budget.gov,True,True,https://www.whitehouse.gov/omb,True,False,False,False,False,False,False,False,,,False,False,False
buildingamerica.gov,buildingamerica.gov,http://www.buildingamerica.gov,True,True,http://energy.gov/eere/buildings/building-america-bringing-building-innovations-market,False,False,False,False,False,True,False,False,,,False,False,False
business.gov,business.gov,http://www.business.gov,True,True,https://business.usa.gov/,False,False,False,False,False,False,False,False,,,False,False,False
businessusa.gov,businessusa.gov,http://www.businessusa.gov,True,True,https://business.usa.gov/,True,False,False,False,False,False,False,False,,,False,False,False
buyaccessible.gov,buyaccessible.gov,https://buyaccessible.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False
buyusa.gov,buyusa.gov,http://buyusa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
cancer.gov,cancer.gov,https://www.cancer.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False
cancernet.gov,cancernet.gov,http://www.cancernet.gov,True,True,https://www.cancer.gov/,True,False,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False
cao.gov,cao.gov,http://www.cao.gov,True,True,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
cap.gov,cap.gov,http://www.cap.gov,True,True,https://www.capnhq.gov/CAP.eServices.Web/default.aspx?ReturnUrl=%2fCAP.eServices.Web%2feServices.aspx,False,False,False,True,False,True,False,False,,,False,False,False
capital.gov,capital.gov,http://capital.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
capitol.gov,capitol.gov,https://capitol.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
capnhq.gov,capnhq.gov,https://www.capnhq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
casl.gov,casl.gov,http://casl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
cavc.gov,cavc.gov,http://cavc.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
cbca.gov,cbca.gov,http://cbca.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
cbi-epa.gov,cbi-epa.gov,http://cbi-epa.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
cbo.gov,cbo.gov,https://www.cbo.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
cbonews.gov,cbonews.gov,http://www.cbonews.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
cbp.gov,cbp.gov,https://www.cbp.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
ccac.gov,ccac.gov,https://www.ccac.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False
cdc.gov,cdc.gov,http://www.cdc.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
cdfifund.gov,cdfifund.gov,https://www.cdfifund.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
cebaf.gov,cebaf.gov,http://www.cebaf.gov,True,True,https://www.jlab.org/,False,False,False,False,False,True,False,False,,,False,False,False
cecc.gov,cecc.gov,http://www.cecc.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
cendi.gov,cendi.gov,https://cendi.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
census.gov,census.gov,http://census.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False
cep.gov,cep.gov,https://cep.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False
cfa.gov,cfa.gov,https://www.cfa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
cfda.gov,cfda.gov,https://cfda.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False
cfo.gov,cfo.gov,http://cfo.gov,True,False,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
cfoc.gov,cfoc.gov,http://www.cfoc.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False
cfpa.gov,cfpa.gov,http://www.cfpa.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,False,,,False,False,False
cfpb.gov,cfpb.gov,http://www.cfpb.gov,True,True,http://www.consumerfinance.gov/,False,False,False,False,False,True,False,False,,,False,False,False
cftc.gov,cftc.gov,http://www.cftc.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False
challenge.gov,challenge.gov,https://www.challenge.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
challenges.gov,challenges.gov,http://www.challenges.gov,True,True,https://www.challenge.gov/list/,False,False,False,False,False,True,False,False,,,False,False,False
changeofaddress.gov,changeofaddress.gov,http://www.changeofaddress.gov,True,True,https://moversguide.usps.com/icoa/home/icoa-main-flow.do?execution=e1s1&_flowId=icoa-main-flow,False,False,False,True,False,True,False,False,,,False,False,False
chcoc.gov,chcoc.gov,https://chcoc.gov,True,False,,True,True,False,True,False,False,False,True,"max-age=31536000; includeSubdomains, max-age=31536000; includeSubdomains",31536000,True,False,False
chemsafety.gov,chemsafety.gov,http://www.chemsafety.gov,True,True,,False,False,False,False,False,False,False,False,,,False,False,False
childreninadversity.gov,childreninadversity.gov,https://www.childreninadversity.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
childstats.gov,childstats.gov,http://www.childstats.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
childwelfare.gov,childwelfare.gov,https://childwelfare.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
china-commission.gov,china-commission.gov,http://china-commission.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
chinacommission.gov,chinacommission.gov,http://chinacommission.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
choosemyplate.gov,choosemyplate.gov,https://www.choosemyplate.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
christophercolumbusfoundation.gov,christophercolumbusfoundation.gov,https://www.christophercolumbusfoundation.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False
cia.gov,cia.gov,https://www.cia.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
cigie.gov,cigie.gov,http://cigie.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
cio.gov,cio.gov,http://cio.gov,True,False,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
ciso.gov,ciso.gov,http://www.ciso.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False
citizencorps.gov,citizencorps.gov,https://www.citizencorps.gov,True,True,https://www.ready.gov/citizen-corps,True,True,False,False,False,False,False,False,,,False,False,False
citizencosponsors.gov,citizencosponsors.gov,http://citizencosponsors.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
citizens.gov,citizens.gov,http://citizens.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
citizenscience.gov,citizenscience.gov,https://www.citizenscience.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True
civilrightsusa.gov,civilrightsusa.gov,http://www.civilrightsusa.gov,True,True,,False,False,False,False,False,False,False,False,,,False,False,False
cjis.gov,cjis.gov,https://www.cjis.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
climate.gov,climate.gov,https://www.climate.gov,True,False,,True,True,False,True,False,False,False,True,max-age=15768000,15768000,False,False,False
clinicaltrial.gov,clinicaltrial.gov,http://clinicaltrial.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
clinicaltrials.gov,clinicaltrials.gov,https://clinicaltrials.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False
clintonlibrary.gov,clintonlibrary.gov,https://www.clintonlibrary.gov,True,False,,False,True,False,True,False,False,False,False,,,False,False,False
cloud.gov,cloud.gov,https://cloud.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,True
cms.gov,cms.gov,https://www.cms.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False
cmts.gov,cmts.gov,http://www.cmts.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
cncs.gov,cncs.gov,http://www.cncs.gov,True,True,https://www.nationalservice.gov/,False,False,False,True,False,True,False,False,,,False,False,False
cncsoig.gov,cncsoig.gov,http://www.cncsoig.gov,True,False,,True,False,False,False,False,False,False,True,max-age:31536000; includeSubDomains,31536000,False,False,False
cns.gov,cns.gov,http://www.cns.gov,True,True,https://www.nationalservice.gov/,False,False,False,True,False,True,False,False,,,False,False,False
cnss.gov,cnss.gov,https://www.cnss.gov,True,False,,False,True,False,True,True,False,False,False,,,False,False,False
coastalamerica.gov,coastalamerica.gov,http://coastalamerica.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
code.gov,code.gov,http://code.gov,True,False,,True,False,False,False,False,False,False,True,max-age=86400,86400,False,False,False
collegedrinkingprevention.gov,collegedrinkingprevention.gov,https://www.collegedrinkingprevention.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False
collegenavigator.gov,collegenavigator.gov,http://www.collegenavigator.gov,True,True,http://nces.ed.gov/collegenavigator/,False,False,False,False,False,False,False,False,,,False,False,False
commerce.gov,commerce.gov,https://www.commerce.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False
complaintreferralexpress.gov,complaintreferralexpress.gov,https://www.complaintreferralexpress.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
